,NOME,ANO_PESQUISA,ANO_INGRESSO,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,FASE,TURMA,NIVEL_IDEAL,PONTO_VIRADA,INDICADO_BOLSA,BOLSISTA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IEG,IDA,IPV,IAA,IPS,IPP,IAN,CF,CG,CT,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,DEFASAGEM,SINALIZADOR_INGRESSANTE,NOTA_PORT,NOTA_MAT,NOTA_ING
422,ALUNO-746,2020,,Rede Decisão/União,10.0,2.0,2,F,,Sim,,,8.890836,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.1,9.0,8.833336666666666,9.000020000000001,7.5,8.541666666666666,10.0,,,,,,,,,,,,,,,,,
423,ALUNO-747,2020,,Escola Pública,13.0,1.0,3,B,,Não,,,8.154376000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.1,8.0,7.91667,7.91667,5.625,7.96875,10.0,,,,,,,,,,,,,,,,,
424,ALUNO-749,2020,,Escola Pública,14.0,2.0,4,L,,Não,,,6.502500333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,3.7,5.333333333333333,5.666659999999999,9.58335,7.5,8.541666666666666,10.0,,,,,,,,,,,,,,,,,
425,ALUNO-750,2020,,Escola Pública,16.0,0.0,4,B,,Não,,,5.549445666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.4,0.0,6.555553333333332,9.58335,6.875,8.125,5.0,,,,,,,,,,,,,,,,,
426,ALUNO-753,2020,,Escola Pública,12.0,1.0,3,E,,Não,,,6.485277,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.6,2.333333333333333,6.722216666666666,7.91667,7.5,8.125,10.0,,,,,,,,,,,,,,,,,
427,ALUNO-755,2020,,Escola Pública,13.0,3.0,3,L,,Não,,,7.735417,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,8.0,7.5,7.91667,5.0,8.4375,10.0,,,,,,,,,,,,,,,,,
428,ALUNO-756,2020,,Escola Pública,14.0,1.0,2,B,,Não,,,7.434168,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.9,9.0,6.33333,9.000020000000001,7.5,4.375,5.0,,,,,,,,,,,,,,,,,
429,ALUNO-757,2020,,Escola Pública,13.0,3.0,3,A,,Não,,,6.240207333333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,4.3,4.666666666666667,6.791665,5.41666,7.5,7.96875,10.0,,,,,,,,,,,,,,,,,
430,ALUNO-758,2020,,Escola Pública,11.0,0.0,2,L,,Não,,,7.436114000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,4.25,8.222226666666666,9.000020000000001,7.5,7.916666666666666,10.0,,,,,,,,,,,,,,,,,
431,ALUNO-760,2020,,Escola Pública,7.0,0.0,0,G,,Não,,,8.641250000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.8,10.0,6.24999,9.000020000000001,7.5,7.8125,10.0,,,,,,,,,,,,,,,,,
432,ALUNO-766,2020,,Escola Pública,15.0,0.0,4,B,,Não,,,6.824446333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.4,3.6666666666666665,8.055560000000002,8.75001,7.5,8.749999999999998,5.0,,,,,,,,,,,,,,,,,
